Size,Algorithm,Type,ThreadCount,ArrayType,Sample,TimeMs,SpeedUp,Efficiency
100000,MergeSort,Parallel,4,Sorted,5,1.1699,1.9846140695785965,0.49615351739464914
100000,BubbleSort,Parallel,4,Sorted,5,5489.9654,6.302407661804207E-6,1.5756019154510517E-6
100000,InsertSort,Parallel,4,Sorted,5,1.3366,0.05080053868023343,0.012700134670058358
100000,SelectionSort,Parallel,8,Sorted,5,46.9543,35.06915447573491,4.383644309466864
100000,MergeSort,Parallel,8,Sorted,5,1.508101,1.5395520591790604,0.19244400739738254
100000,BubbleSort,Parallel,8,Sorted,5,6618.3646,5.227877593809202E-6,6.534846992261502E-7
100000,InsertSort,Parallel,8,Sorted,5,1.3141,0.05167034472262385,0.006458793090327981
100000,SelectionSort,Parallel,16,Sorted,5,17.427301,94.48666778636577,5.905416736647861
100000,MergeSort,Parallel,16,Sorted,5,1.418801,1.6364521874455968,0.1022782617153498
100000,BubbleSort,Parallel,16,Sorted,5,6785.0835,5.099421399898763E-6,3.187138374936727E-7
100000,InsertSort,Parallel,16,Sorted,5,1.7199,0.03947903947903948,0.0024674399674399676
100000,SelectionSort,Serial,1,Reverse,1,2846.661301,0.0,0.0
100000,MergeSort,Serial,1,Reverse,1,2.7251,0.0,0.0
100000,BubbleSort,Serial,1,Reverse,1,5480.270799,0.0,0.0
100000,InsertSort,Serial,1,Reverse,1,1044.147401,0.0,0.0
100000,SelectionSort,Parallel,2,Reverse,1,779.0654,3.653943944885757,1.8269719724428786
100000,MergeSort,Parallel,2,Reverse,1,1.7543,1.5533831157726727,0.7766915578863364
100000,BubbleSort,Parallel,2,Reverse,1,43164.571199,0.12696224349674445,0.06348112174837223
100000,InsertSort,Parallel,2,Reverse,1,2.7531,379.26243180414804,189.63121590207402
100000,SelectionSort,Parallel,4,Reverse,1,218.0703,13.053869788779123,3.2634674471947807
100000,MergeSort,Parallel,4,Reverse,1,1.4525,1.876144578313253,0.4690361445783133
100000,BubbleSort,Parallel,4,Reverse,1,42947.1221,0.12760507645284105,0.031901269113210264
100000,InsertSort,Parallel,4,Reverse,1,2.408,433.61603031561464,108.40400757890366
100000,SelectionSort,Parallel,8,Reverse,1,65.642101,43.3663953108387,5.420799413854837
100000,MergeSort,Parallel,8,Reverse,1,2.0336,1.340037372147915,0.16750467151848938
100000,BubbleSort,Parallel,8,Reverse,1,43838.8211,0.1250095386118857,0.015626192326485714
100000,InsertSort,Parallel,8,Reverse,1,2.137299,488.53595168481337,61.06699396060167
100000,SelectionSort,Parallel,16,Reverse,1,25.3106,112.46913550054127,7.029320968783829
100000,MergeSort,Parallel,16,Reverse,1,1.5855,1.7187637969094922,0.10742273730684326
100000,BubbleSort,Parallel,16,Reverse,1,43991.845899,0.1245746953101728,0.0077859184568858
100000,InsertSort,Parallel,16,Reverse,1,2.2914,455.6809814960286,28.480061343501788
100000,SelectionSort,Serial,1,Reverse,2,2804.8471,0.0,0.0
100000,MergeSort,Serial,1,Reverse,2,2.7186,0.0,0.0
100000,BubbleSort,Serial,1,Reverse,2,5586.8812,0.0,0.0
100000,InsertSort,Serial,1,Reverse,2,1013.4571,0.0,0.0
100000,SelectionSort,Parallel,2,Reverse,2,788.345399,3.557891126856186,1.778945563428093
100000,MergeSort,Parallel,2,Reverse,2,2.137,1.2721572297613477,0.6360786148806739
100000,BubbleSort,Parallel,2,Reverse,2,42774.630301,0.13061202775303443,0.06530601387651722
100000,InsertSort,Parallel,2,Reverse,2,2.846201,356.0736223478243,178.03681117391216
100000,SelectionSort,Parallel,4,Reverse,2,189.8831,14.77144148162738,3.692860370406845
100000,MergeSort,Parallel,4,Reverse,2,1.7881,1.5203847659526872,0.3800961914881718
100000,BubbleSort,Parallel,4,Reverse,2,42827.4464,0.13045095305985835,0.03261273826496459
100000,InsertSort,Parallel,4,Reverse,2,2.1483,471.74840571614766,117.93710142903691
